url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251,shopee-buyer-return-conditions,Điều kiện Trả hàng và Hoàn tiền Shopee,buyer,return-refund,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/188931,shopee-mall-return-policy,Quy định Trả hàng Hoàn tiền cho Shopee Mall,buyer,return-refund-mall,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/79233,shopee-buyer-return-request-guide,Hướng dẫn Yêu cầu Trả hàng Hoàn tiền cho Người mua,buyer,return-request,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/79467,shopee-buyer-refund-timeline,Thời gian xử lý và Hoàn tiền cho Người mua,buyer,payment-refund,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/190242,shopee-seller-dispute-response,Hướng dẫn Người bán xử lý khiếu nại Trả hàng Hoàn tiền,seller,seller-dispute,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/189477,shopee-seller-return-appeals,Hướng dẫn Người bán khiếu nại quyết định Trả hàng Shopee,seller,seller-dispute,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/204305,shopee-buyer-return-shipping-guide,Quy định đóng gói và gửi hàng trả về cho Người mua,buyer,return-shipping,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/79182,shopee-product-warranty-policy,Điều kiện và Thời hạn bảo hành sản phẩm trên Shopee,buyer,warranty,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/77265,shopee-return-evidence-requirements,Quy định về Bằng chứng Trả hàng Hoàn tiền,both,return-evidence,vi,2026-v1,public-source
https://help.shopee.vn/portal/4/article/77250,shopee-order-cancellation-policy,Chính sách Hủy đơn hàng cho Người mua và Người bán,both,cancellation,vi,2026-v1,public-source
