doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-refund-timeline,data/shopee/shopee-buyer-refund-timeline.md,Thời gian xử lý và Hoàn tiền cho Người mua,https://help.shopee.vn/portal/4/article/79467,2026-09-20,2026-v1,public-source
shopee-buyer-return-conditions,data/shopee/shopee-buyer-return-conditions.md,Điều kiện Trả hàng và Hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-v1,public-source
shopee-buyer-return-request-guide,data/shopee/shopee-buyer-return-request-guide.md,Hướng dẫn Yêu cầu Trả hàng Hoàn tiền cho Người mua,https://help.shopee.vn/portal/4/article/79233,2026-09-20,2026-v1,public-source
shopee-buyer-return-shipping-guide,data/shopee/shopee-buyer-return-shipping-guide.md,Quy định đóng gói và gửi hàng trả về cho Người mua,https://help.shopee.vn/portal/4/article/204305,2026-09-20,2026-v1,public-source
shopee-mall-return-policy,data/shopee/shopee-mall-return-policy.md,Quy định Trả hàng Hoàn tiền cho Shopee Mall,https://help.shopee.vn/portal/4/article/188931,2026-09-20,2026-v1,public-source
shopee-order-cancellation-policy,data/shopee/shopee-order-cancellation-policy.md,Chính sách Hủy đơn hàng cho Người mua và Người bán,https://help.shopee.vn/portal/4/article/77250,2026-09-20,2026-v1,public-source
shopee-product-warranty-policy,data/shopee/shopee-product-warranty-policy.md,Điều kiện và Thời hạn bảo hành sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/79182,2026-09-20,2026-v1,public-source
shopee-return-evidence-requirements,data/shopee/shopee-return-evidence-requirements.md,Quy định về Bằng chứng Trả hàng Hoàn tiền,https://help.shopee.vn/portal/4/article/77265,2026-09-20,2026-v1,public-source
shopee-seller-dispute-response,data/shopee/shopee-seller-dispute-response.md,Hướng dẫn Người bán xử lý khiếu nại Trả hàng Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-09-20,2026-v1,public-source
shopee-seller-return-appeals,data/shopee/shopee-seller-return-appeals.md,Hướng dẫn Người bán khiếu nại quyết định Trả hàng Shopee,https://help.shopee.vn/portal/4/article/189477,2026-09-20,2026-v1,public-source
